direccion,horario,rating,usuarios
"Finlandia, Quito",Abierto 24 horas,4.5,2953
"Avenida República de El Salvador n37 - 108, Quito",8:00–23:00,4.6,3549
"local 1, Plaza Kendo, Avenida República de El Salvador &, Quito",9:00–20:00,4.3,588
"DC, Avenida Río Amazonas, Quito",9:30–1:00,4.4,2684
"Avenida República de El Salvador, Quito",12:30–22:30,4.3,1196
"Quicentro Norte, C.C y Avenida Naciones Unidas Local 164, Quito",8:00–20:00,4.2,970
"Avenida Naciones Unidas, Quito",9:30–20:00,4.3,3686
"Avenida República de El Salvador N36-109, Quito",11:00–23:00,4.5,1348
"Avenida de los Shyris N36-120, Quito",9:30–21:00,4.1,808
"Avenida Naciones Unidas, Quito",Horario no disponible,3.8,744
"RGF9+VH5, Avenida de los Shyris, Quito",10:00–23:00,4.1,2189
"Avenida República de El Salvador, Quito",12:00–22:00,4.6,4024
"Avenida República de El Salvador y Suecia N34-349 y, Quito",9:00–22:30,4.6,1990
"Avenida 6 de Diciembre, Quito",12:00–23:00,4.4,4051
"Avenida 6 de Diciembre, Quito",10:00–23:00,4.6,4523
"Avenida de los Shyris N35-116 Y, Quito",12:00–1:30,4.8,5348
"Av. Shyris N37/295 entre El Espectador, y y El Telégrafo, Quito",8:00–23:00,4.6,3224
"Japón y Avenida Naciones Unidas N37-96, Quito",7:30–16:30,4.3,637
"Avenida Naciones Unidas E5-63, Quito",13:00–24:00,4.4,649
"Avenida Río Amazonas N36-152, Quito",10:00–22:00,4.3,1812
"Avenida de los Shyris y Avenida Portugal n34-452, Quito",12:00–21:00,4.6,878
"Avenida Eloy Alfaro N34-473, Quito",18:00–3:00,4.2,482
"Catalina Aldaz y Portugal y esquina, Edificio Bristol Parc, Quito",12:30–23:00,4.7,1101
"Juan González N35-141, Quito",12:00–17:00,4.3,1180
"Avenida República de El Salvador 34-234 y, Quito",12:30–22:30,4.5,1361
"Vicente Cárdenas, y y Japón, Quito",12:00–21:00,4.4,992
"Moscú y Avenida República de El Salvador N34-78 y, Quito",14:00–24:00,4.5,1101
"Núñez de Vela N37-150, Quito",10:00–15:30,4.4,316
"Avenida Eloy Alfaro N34-248, Quito",9:00–16:00,4.4,332
"Núñez de Vela N37-159, Quito",10:30–17:00,4.5,555
"Murano Plaza, Edf, Avenida República de El Salvador N34-127, Quito",9:00–23:00,4.4,40
"Y SUIZA. EDI, Murano Plaza, Avenida República de El Salvador N34-127, PISO 3 SUITE 34, Quito",Horario no disponible,N/A,0
"Avenida Eloy Alfaro N39-18, Quito",9:00–18:00,4.2,82
"Av. 10 de Agosto N36-54 y Corea, Pan American Hwy N36-54, Quito",12:00–20:00,4,17
"Uu, Nn.Uu E10-50 Y Av 6 De Diciembre Nn, Avenida 6 de Diciembre, E10-50 Y, Quito",12:00–23:00,4.4,1252
"C.C. Quicentro Norte, Piso 2, Isla K5 Calle, Avenida Naciones Unidas, Quito",11:00–21:00,4.5,2311
"Avenida de los Shyris y Avenida República de El Salvador N33-164 y, Quito",9:00–13:00,4.2,197
"Iñaquito &, Quito",7:00–2:00,4.2,2536
"Avenida 6 de Diciembre, Quito",12:00–23:00,4.4,1927
"Avenida Naciones Unidas, Quito",12:00–23:00,4.5,1150
"Guanguiltagua N38-44, Quito",16:00–23:30,4.5,547
"Avenida Amazonas, y y Avenida Naciones Unidas, Quito",8:00–24:00,4.4,7902
"Avenida Río Amazonas, Quito",9:30–20:30,4.7,292
"Japón N37-118, Quito",12:00–23:00,4,452
"Avenida Naciones Unidas, Quito",9:30–21:00,4.6,409
"RG8F+RH6, Catalina Aldaz, Quito",17:00–23:15,4.4,916
"Avenida Naciones Unidas 271, Quito",10:30–22:00,4.4,129
"Avenida Naciones Unidas y Avenida de los Shyris E9-08 y, Quito",12:00–22:00,4.3,691
"N37 NACIONES UNIDAS, DE y Avenida de los Shyris E9-08, Quito",12:00–20:00,4,1
"Avenida Naciones Unidas E9-08, Quito",12:30–9:00,2.5,11
"170505, Quito",12:00–22:00,5,3
"Avenida de los Shyris &, Quito",Horario no disponible,3.6,34
Quito,11:00–20:00,4,4
"Republica del Salvador, y y Avenida Naciones Unidas, Quito",12:00–24:00,4.8,2498
"RGFC+345, Avenida República de El Salvador, Quito",10:00–22:00,2.8,53
"Republica del salvador, y y Avenida Naciones Unidas, Quito",12:00–24:00,N/A,0
"Avenida República de El Salvador 36213, Quito",11:00–23:00,3.4,37
"Avenida República de El Salvador N36-243, Quito",12:30–22:30,4.3,1625
"Avenida de los Shyris y Avenida Naciones Unidas, Quito",Cerrado,4,226
"Avenida de los Shyris, Quito",Horario no disponible,4.2,5
